CompanyCode,EPS,ROA,Dbequrt,LOGTA,year
1054,0.45,8.2154,62.1203,23.2092386,2009
1054,0.19,4.8496,130.7422,23.58560782,2010
1054,0.16,3.1139,158.4469,23.70942755,2011
1054,0.1496,2.8348,150.929,23.707528,2012
1054,0.1982,3.7101,133.916,23.67874243,2013
1054,0.2189,4.1805,117.6488,23.65126015,2014
1054,0.2007,3.9464,105.5876,23.63100781,2015
1054,0.2446,4.8901,91.8227,23.61155657,2016
1054,0.2391,4.8503,81.5435,23.59316215,2017
1054,0.2673,5.4859,68.5801,23.57391001,2018
1055,0.32,8.9046,40.367,22.0426684,2009
1055,0.43,8.2019,94.8486,22.51700519,2010
1055,0.32,3.7957,185.825,22.97822272,2011
1055,0.21,1.8299,241.7627,23.19210479,2012
1055,0.27,2.0492,260,23.29594569,2013
1055,0.23,2.5158,141.4619,22.92193747,2014
1055,0.3,4.7578,118.3767,22.90969967,2015
1055,0.27,4.3501,104.9695,22.90783364,2016
1055,0.34,5.8593,76.6414,23.08739906,2017
1055,0.26,4.0934,74.9734,23.11179009,2018
1057,0.3113,5.7255,31.0751,22.49239403,2009
1057,0.3262,4.6164,73.5178,22.93441168,2010
1057,0.263,2.7596,109.0537,23.13178033,2011
1057,0.2805,2.764,89.2596,23.06773194,2012
1057,0.3553,3.6456,78.465,23.05712315,2013
1057,0.5359,5.4788,66.1259,23.07021923,2014
1057,0.5934,5.4987,21.5772,23.36383901,2015
1057,0.5211,4.9845,18.8615,23.43688996,2016
1057,0.547,5.0068,19.8893,23.45286792,2017
1057,0.4988,4.4416,22.1216,23.49167032,2018
1058,0.2384,2.8775,102.4262,21.72366902,2009
1058,0.3547,4.3472,94.8688,21.74761053,2010
1058,0.3255,3.7127,107.93,21.8643421,2011
1058,0.3425,2.8475,212.3499,22.32994866,2012
1058,0.4918,1.9167,251.5828,23.75485311,2013
1058,0.5629,1.6143,229.9737,23.73812178,2014
1058,0.7414,2.0306,246.3055,23.84533856,2015
1058,0.745,2.0677,185.9243,23.71024568,2016
1058,0.7725,2.1517,207.5367,23.83684203,2017
1058,0.8657,2.1933,207.5388,23.90278212,2018
1059,0.09,0.9116,534.2897,22.59172693,2009
1059,0.3272,2.1619,633.5288,22.69887821,2010
1059,0.5035,2.3704,628.2312,22.86630336,2011
1059,0.6451,3.3112,773.6649,24.25954578,2012
1059,0.4901,1.4084,569.0233,24.51348929,2013
1059,0.2958,1.9182,587.6577,24.67787233,2014
1059,0.3395,1.9049,528.8957,24.73136846,2015
1059,0.3459,1.9194,547.9297,24.87398349,2016
1059,0.3308,1.6527,447.62,25.01401019,2017
1059,0.3245,1.517,504.4477,25.1787028,2018
1061,0.42,4.3615,233.224,22.34079104,2009
1061,0.56,2.9659,206.9111,22.39794077,2010
1061,0.75,4.01,198.3141,22.4129496,2011
1061,0.11,0.3028,238.7605,22.59302442,2012
1061,0.2,0.6283,328.7077,22.76836327,2013
1061,0.38,3.1758,301.5549,22.76106141,2014
1061,0.42,2.6361,323.268,22.81582826,2015
1061,0.49,3.0366,312.0376,22.82170079,2016
1061,1.56,7.4415,168.8402,22.63829079,2017
1061,0.8,5.4701,165.6459,22.6118039,2018
1062,0.5,5.0076,342.6465,22.863301,2009
1062,0.15,1.5644,285.1545,22.79707944,2010
1062,0.33,3.4872,255.5116,22.84725748,2011
1062,0.07,0.3887,399.3836,22.96898282,2012
1062,0.06,0.5128,455.5975,23.04198612,2013
1062,0.24,2.2071,369.2473,22.96453744,2014
1062,-0.75,-8.5915,351.2301,22.49317126,2015
1062,0.41,6.8999,119.3984,22.2254559,2016
1062,0.22,3.8618,128.406,22.38633823,2017
1062,0.14,1.9214,185.0473,22.66743868,2018
1065,0.317,6.9675,74.738,20.69321254,2009
1065,0.194,4.3106,72.6561,20.73189142,2010
1065,0.184,4.0258,66.7293,20.73745317,2011
1065,0.149,3.1937,70.042,20.8098414,2012
1065,0.2,4.0061,70.4685,20.85696571,2013
1065,0.12,2.1422,82.1506,20.92774659,2014
1065,0.19,3.3364,88.6284,21.00867642,2015
1065,0.19,3.8708,19.281,21.51314179,2016
1065,0.2,4.4687,22.7702,21.56558305,2017
1065,0.28,6.268,21.4736,21.61501513,2018
1066,0.7913,5.8999,262.4879,22.42170281,2009
1066,0.6269,4.6796,249.3373,22.37912492,2010
1066,0.8651,5.6267,255.7002,22.54212271,2011
1066,1.1209,5.7124,293.6483,22.82470323,2012
1066,1.06,5.1164,259.4063,23.27196709,2013
1066,0.5568,4.5468,175.2819,23.3767624,2014
1066,0.6069,4.7347,187.3836,23.50569892,2015
1066,0.9237,6.2703,172.1123,23.6948373,2016
1066,1.2153,7.5791,158.5452,23.77661287,2017
1066,1.4455,7.8265,179.9308,23.95581142,2018
1068,0.2488,0.2901,379.3998,24.45933105,2009
1068,0.359,0.3606,361.4866,24.48994744,2010
1068,0.5017,1.202,408.9267,24.61448158,2011
1068,-0.3549,-1.6881,400.6806,24.50402034,2012
1068,0.261,0.1455,413.9998,24.5556555,2013
1068,0.196,-0.2801,420.2459,24.56955292,2014
1068,-3.6878,-15.0324,552.8636,24.20925152,2015
1068,0.027,0.0562,397.9903,23.94557252,2016
1068,0.0322,0.1385,183.3076,23.79123749,2017
1068,-0.886,-3.8737,215.1085,23.76166094,2018
1069,0.137,3.7051,75.9766,21.58687938,2009
1069,0.2,4.8624,34.6129,21.76330394,2010
1069,0.27,5.7864,36.3158,21.85275326,2011
1069,0.301,5.7573,47.7153,22.00042768,2012
1069,0.23,4.0435,43.0547,22.00103864,2013
1069,0.26,4.6975,15.955,22.18830707,2014
1069,0.16,3.0604,15.9163,22.20616381,2015
1069,0.15,2.7083,16.4847,22.24219449,2016
1069,0.2,3.5743,15.9471,22.25866279,2017
1069,0.21,3.6527,17.2634,22.29231218,2018
1070,1.01,6.1743,108.2512,23.0595853,2009
1070,0.963,7.3511,117.9522,23.24851782,2010
1070,1.947,11.9545,123.1215,23.50485238,2011
1070,1.229,9.4822,105.5243,23.62750529,2012
1070,1.211,8.5174,98.0802,23.71233277,2013
1070,1.07,7.1125,88.5251,23.75356925,2014
1070,1.138,7.3825,73.1662,23.76403449,2015
1070,1.34,8.2048,68.8758,23.84525029,2016
1070,0.72,4.3344,75.5718,23.92470495,2017
1070,0.3,2.0214,99.6467,24.10423923,2018
1072,0.7897,10.315,34.0637,22.27443346,2009
1072,0.9097,10.7432,33.1227,22.37298332,2010
1072,0.9253,9.7943,40.7186,22.5277718,2011
1072,1.0747,10.0208,38.7021,22.59626355,2012
1072,1.523,13.4493,21.4653,22.59212768,2013
1072,0.9479,8.3001,16.4625,22.6132549,2014
1072,0.9125,9.2449,21.7664,22.7726485,2015
1072,0.9858,9.2379,17.993,22.83245426,2016
1072,0.9692,9.9788,21.3139,22.96799895,2017
1072,0.9284,10.0228,30.5816,23.05600867,2018
1073,0.14,1.4448,103.378,22.19110112,2009
1073,0.22,1.8953,189.3742,22.34113958,2010
1073,0.14,2.4741,111.2872,22.40637517,2011
1073,-0.1,-2.8466,141.9531,22.52051665,2012
1073,0.01,0.4517,151.789,22.55092339,2013
1073,0.12,2.7238,97.6519,22.71009416,2014
1073,0.07,1.4825,102.8533,22.73062211,2015
1073,0.07,1.3642,139.1513,22.88808741,2016
1073,0.05,0.9702,83.6961,22.90500676,2017
1073,0.07,1.4434,98.7122,22.93930917,2018
1074,0.743,2.0022,135.2242,23.44802901,2009
1074,0.609,2.2578,188.2178,23.40276994,2010
1074,0.71,2.6166,211.9439,23.42905443,2011
1074,0.744,2.655,207.9974,23.51739634,2012
1074,0.834,2.8833,204.6322,23.46809263,2013
1074,1.181,3.558,141.2075,23.73718426,2014
1074,1.096,4.0962,146.4192,23.84331776,2015
1074,1.199,4.2968,148.943,23.94603134,2016
1074,1.225,4.0426,151.7668,23.98602451,2017
1074,0.775,4.1081,170.2599,23.98011153,2018
1076,1.08,11.1355,153.7814,22.42935324,2009
1076,1.65,13.9319,173.6802,22.63975276,2010
1076,2.27,16.1339,135.6762,22.7850615,2011
1076,2.31,14.0004,95.1423,23.38206348,2012
1076,1.43,11.9561,85.062,23.50812728,2013
1076,1.77,13.2562,119.9775,23.89393832,2014
1076,1.6,13.2969,133.7401,24.12909021,2015
1076,1.83,12.566,158.092,24.28299845,2016
