CompanyCode,EPS,ROA,Dbequrt,year
1054,0.45,8.2154,62.1203,2009
1054,0.19,4.8496,130.7422,2010
1054,0.16,3.1139,158.4469,2011
1054,0.1496,2.8348,150.929,2012
1054,0.1982,3.7101,133.916,2013
1054,0.2189,4.1805,117.6488,2014
1054,0.2007,3.9464,105.5876,2015
1054,0.2446,4.8901,91.8227,2016
1054,0.2391,4.8503,81.5435,2017
1054,0.2673,5.4859,68.5801,2018
1055,0.32,8.9046,40.367,2009
1055,0.43,8.2019,94.8486,2010
1055,0.32,3.7957,185.825,2011
1055,0.21,1.8299,241.7627,2012
1055,0.27,2.0492,260,2013
1055,0.23,2.5158,141.4619,2014
1055,0.3,4.7578,118.3767,2015
1055,0.27,4.3501,104.9695,2016
1055,0.34,5.8593,76.6414,2017
1055,0.26,4.0934,74.9734,2018
1057,0.3113,5.7255,31.0751,2009
1057,0.3262,4.6164,73.5178,2010
1057,0.263,2.7596,109.0537,2011
1057,0.2805,2.764,89.2596,2012
1057,0.3553,3.6456,78.465,2013
1057,0.5359,5.4788,66.1259,2014
1057,0.5934,5.4987,21.5772,2015
1057,0.5211,4.9845,18.8615,2016
1057,0.547,5.0068,19.8893,2017
1057,0.4988,4.4416,22.1216,2018
1058,0.2384,2.8775,102.4262,2009
1058,0.3547,4.3472,94.8688,2010
1058,0.3255,3.7127,107.93,2011
1058,0.3425,2.8475,212.3499,2012
1058,0.4918,1.9167,251.5828,2013
1058,0.5629,1.6143,229.9737,2014
1058,0.7414,2.0306,246.3055,2015
1058,0.745,2.0677,185.9243,2016
1058,0.7725,2.1517,207.5367,2017
1058,0.8657,2.1933,207.5388,2018
1059,0.09,0.9116,534.2897,2009
1059,0.3272,2.1619,633.5288,2010
1059,0.5035,2.3704,628.2312,2011
1059,0.6451,3.3112,773.6649,2012
1059,0.4901,1.4084,569.0233,2013
1059,0.2958,1.9182,587.6577,2014
1059,0.3395,1.9049,528.8957,2015
1059,0.3459,1.9194,547.9297,2016
1059,0.3308,1.6527,447.62,2017
1059,0.3245,1.517,504.4477,2018
1061,0.42,4.3615,233.224,2009
1061,0.56,2.9659,206.9111,2010
1061,0.75,4.01,198.3141,2011
1061,0.11,0.3028,238.7605,2012
1061,0.2,0.6283,328.7077,2013
1061,0.38,3.1758,301.5549,2014
1061,0.42,2.6361,323.268,2015
1061,0.49,3.0366,312.0376,2016
1061,1.56,7.4415,168.8402,2017
1061,0.8,5.4701,165.6459,2018
1062,0.5,5.0076,342.6465,2009
1062,0.15,1.5644,285.1545,2010
1062,0.33,3.4872,255.5116,2011
1062,0.07,0.3887,399.3836,2012
1062,0.06,0.5128,455.5975,2013
1062,0.24,2.2071,369.2473,2014
1062,-0.75,-8.5915,351.2301,2015
1062,0.41,6.8999,119.3984,2016
1062,0.22,3.8618,128.406,2017
1062,0.14,1.9214,185.0473,2018
1065,0.317,6.9675,74.738,2009
1065,0.194,4.3106,72.6561,2010
1065,0.184,4.0258,66.7293,2011
1065,0.149,3.1937,70.042,2012
1065,0.2,4.0061,70.4685,2013
1065,0.12,2.1422,82.1506,2014
1065,0.19,3.3364,88.6284,2015
1065,0.19,3.8708,19.281,2016
1065,0.2,4.4687,22.7702,2017
1065,0.28,6.268,21.4736,2018
1066,0.7913,5.8999,262.4879,2009
1066,0.6269,4.6796,249.3373,2010
1066,0.8651,5.6267,255.7002,2011
1066,1.1209,5.7124,293.6483,2012
1066,1.06,5.1164,259.4063,2013
1066,0.5568,4.5468,175.2819,2014
1066,0.6069,4.7347,187.3836,2015
1066,0.9237,6.2703,172.1123,2016
1066,1.2153,7.5791,158.5452,2017
1066,1.4455,7.8265,179.9308,2018
1068,0.2488,0.2901,379.3998,2009
1068,0.359,0.3606,361.4866,2010
1068,0.5017,1.202,408.9267,2011
1068,-0.3549,-1.6881,400.6806,2012
1068,0.261,0.1455,413.9998,2013
1068,0.196,-0.2801,420.2459,2014
1068,-3.6878,-15.0324,552.8636,2015
1068,0.027,0.0562,397.9903,2016
1068,0.0322,0.1385,183.3076,2017
1068,-0.886,-3.8737,215.1085,2018
1069,0.137,3.7051,75.9766,2009
1069,0.2,4.8624,34.6129,2010
1069,0.27,5.7864,36.3158,2011
1069,0.301,5.7573,47.7153,2012
1069,0.23,4.0435,43.0547,2013
1069,0.26,4.6975,15.955,2014
1069,0.16,3.0604,15.9163,2015
1069,0.15,2.7083,16.4847,2016
1069,0.2,3.5743,15.9471,2017
